Rating,Professor Gender,Comment Text
3.5,M,a very nice and lenient professor he does tend to go off topic during lectures unfortunately we get to finish all the chapts and topics during my fall semester honestly i just think getting old but not a bad professor although he only took attendance sometimes best to show up to know what will be on tests no hw
1.0,M,a junior and a i took him during my first semester at bc his class is still the only class in my life that gotten a c in his exams have nothing to do with the textbook and his lectures are not coherent writing this review because i want to make sure other students make the same mistake i did take him
2.0,M,very unclear long rambling lectures very self-centered man lectures were about himself and about the material test questions had some surprises content that you can be sure was never covered in class he is sadly nearly tenured
1.0,M,prof class was horrible not only did i get nothing out of his class but it was the first class i got a c in always received a b or an a in a psyc class he gets off topic in a heartbeat so you end up lost hes so disorganized some people should not be allowed to teach please do not take him or regret it as i have now
1.0,M,if you have barely any interest in the subject of psychology i fully recommend taking his class for you will pass he took most of the time in class to talk about his personal life barley uses the textbook two tests plus a final drops the lowest grade he was so behind on teaching us that he gave every student a for the second exam
2.0,M,eaaaasy grade just show up didnt need to pay attention half of the time never used the textbook and still passed only tests lowest score is dropped very much a story telling teacher mostly about his personal life and random things going on in class
1.0,M,i am a junior with a and he is the worst teacher i have ever had he skips steps in processes which makes everyone lost is never in his office during his office hours always late to class and receiving text messages and phone calls puts homework on the syllabus and never mentions it and expects it to be done take him
2.5,M,he knows his stuff but not there for his students very distant professor and not very approachable very harsh grader do not take if you are not an english major
1.0,M,if a student who is horrible at taking exams or actually have a life and have to work in order to pay for college do not take any course with professor kurylo his class is exams and attendance no extra credit no project and no presentation he does not care if you fail
5.0,M,i thought he was weird at first but i grew to love his weirdness i love his sarcasm i only pay attention to catch the few sarcastic jokes he throws out good guy teaches clearly he also makes funny faces without noticing super interesting haha
5.0,M,prof kurylo is not the typical college professor that just want you to memorize a bunch of stuff and then feed it back on a paper he really expect you to think on his test it is more benefit for you to understand why rather than just study like a robot
4.0,M,this is my third time taking one of classes and i am still very happy with his teaching and testing techniques the test are fairly difficult but there is always a curve as long as you are a good note taker you will be fine also read the stories and diagrams in the textbook almost always at least one question related to them on exam
3.5,M,delamater is incredibly knowledgeable and has a lot to say this can work against him however because he will often go on and on about something that could have been said in minutes he is also disrespectful--making students feel embarrassed for saying the wrong thing mocking students rolling his eyes
2.5,M,i dont recommend him he know how to explain no extra credit no homework no study guide three exams extremely hard you have to study on your own and read the book a few times to get the concepts well
2.0,M,professor abramov where do i even begin his notes are confusing and his tests are extremely hard he comes into class talks for minutes and then you leave and have to read the textbook front to back the final was chapters he should retire expect to self teach yourself everything he is too difficult for an introduction course
5.0,M,personally i think he is the best professor in brooklyn college simply not enough space to tell you all the good things about him he really makes it easy to do well in a tough class show up to class and take notes make sure you understand the material and you will do not just fine but get an a if you want to understand stats you must take him
4.5,M,he is the best for statistics homework total super eas y if you go to class three exams including the final and you are allow to bring cheats sheets for the three exams also the final is very easy take him if you want to learn statistics
4.5,M,i have other stats classes that i have taken to compare him to and hands down i wish i would have had him first one of the most understanding statistics professors ever had makes the lessons clear to understand offers extra help in any way he can the material is hard but you leave understanding statistics the way he teaches it
5.0,M,psych stats is difficult but having professor kozbelt alleviates some of the challenge i love that he is very fair very helpful clear he is organized knows what he is doing and makes everyone in the class feel like they can ask questions sitting in a lecture hall i was surprised when he remembered my name kozbelt is very professional
1.5,M,a terrible lecturer goes on tangents so often he also sometimes confuses himself sitting in class i hear a lot of snickering from the classmates when he says something that make sense which is a lot my ta is respectful but even he knew that the lecturers help much mc tests are vague prelim averages were
1.0,M,actually the worst professor had at cornell i care if he is a brilliant researcher he had no investment in the class terrible lectures and had no care whatsoever what students took away from his class truly terrible
1.0,M,i remember that in the first lecture prof hirschl was making his powerpoint slides in class yes in class while he was lecturing his lectures were so random he started off talking about the reading made a few completely unrelated points and he started criticizing some other sociologist and then another sociologist and then another
1.0,W,i do not recommend her at all i would avoid her as much as possible treats you like a high school student poor time management skills she got many problem wrong in from of the class in a row does not know material copies straight from book
1.0,W,avoid at all costs because she does not use canvas and will never tell you what your grade is because she also teaches high school and uses that as an excuse
1.0,W,the worst professor ever had at pcc she basically copies the textbook to the board and she calls that a lecture she even able to answer any questions it really made me wonder why i was in that class i do not recommend you to take her even if you are good at math her class will bore you to death
3.0,W,okay so i am going to start with the good things because this professor a terrible person just really tough she stops for questions students have her grading is really tough though on tests she deducts many points for small mistakes even for handwriting if math your thing its going to be tough homework is worth almost nothing
1.0,W,never ever ever ever take her im in class right now we just got another test and more than half the class failed she teach well but she grades you work even worse she will take all your points for the dumbest reason
3.0,W,the material we learn is definitely not hard she is a nice and some what a humorous teacher she has helpful methods there are a few things i would say she is very picky on how she wants the homework done it is graded based on correct answers you are not allowed a calculator and she kinda gets frustrated when you interrupt to ask a question
3.5,M,very good at explaining complicated concepts in a simple way and is helpful if you reach out to him but his tests are impossible the calc class i took was an hour and mins and he requires his tests to be completed during class period the tests are very long and if you go over time he deducts points because of this i am failing
3.5,M,moliassa is a really odd guy he gets a little too enthusiastic about math a good guy though and really helpful good at making difficult topics easy to understand going to class is necessary to passing
5.0,M,the most accurate review read of this prof is the one below me rest are exaggerating yes tough but do you really think nursing school is easy sorry to say heck no and about the accent really if normal human can make it through his class everyone can not hard to understand him he teaches excellent and is a doctor himself
4.0,M,prof strong really cares about you yes his tests are difficult but coming from a former professor from ut health what do you expect he trains you for nursing school because keep in mind nursing school is not easy i recommend taking him if you can accept the challenge because in the long run you will learn an awful amount
2.5,M,a good teacher but there enough time to study for that much information when you have family and kids really critical on studying and test what you think you really know where the exam is coming from he give reviews or study guides
1.5,M,its very hard to understand him he wont give you reviews for any exam not very helpful please buy hes book we even use it and its very expensive
1.0,M,apart from his hard to understand jamaican accent he tends to skip topics and trick you on test for ex on one exam multiple choice he didn tell us that there was more than one answer so while grading he mentioned it and most of the class pass really btw no extra credit no reviews given beware of this professor it is not helpful
2.0,W,think twice before taking this class with her she is nice but when grading her papers and the exams is the opposite
3.0,W,attendance is absolutely mandatory she does not put the power points online which kind of stinks her tests are hard and require a lot of studying nice lady though
5.0,W,she is amazing honestly the most intelligent and realistic professor i have had she is so smart and funny i actually wait for class she is so interesting and helpful i will take her every chance i get love her
3.5,M,he knows his stuff and has a high skill level when it comes to talking to people though he is way too delicate hem and haw for an hour instead of just saying that looks bad let me tell you why but when you coax it out of him his insights and feedback are invaluable gain more skill in this class than in most of any subject
4.0,M,super funny and nice guy his class is pretty easy and you can retake your assignments
5.0,M,a caring loving easy going and funny he is by far a great teachers there no way to fail his class no way
5.0,M,a great professor he gives good feedback the class was very interesting
4.5,M,taken his next semester for two different classes no test and lot of movies he is great lay back over all a very good teachers you will not fail
5.0,M,he is fascinated by what he teaches and it actually inspired me to learn not many teachers can do that he really cares about his students asks us questions to make sure he is teaching the subject well enough one of my favourite professors
3.5,M,nice guy and amazing lecturer certainly knows his mcluhan however between the take home exams and essay you are ending up writing a lot certainly more than any other poli sci lecture or seminar
4.5,M,professor tarkow makes any topic interesting i had him for two separate classes and it was obvious that he really cares about his students and his classes he can explain any concept and make it easy to understand but he also pushes you to discover things for yourself you get out what you put in so definitely do the required readings
3.0,M,you have to read a lot of books there are pop quizzes one research paper a midterm and final he was pretty relaxed with the pop quizzes and let us work with other people he seems interested in what he is teaching the lectures could be really boring though
3.5,M,alright his lectures are long and unclear because he tells us to write down random adjectives i read one of the books and still passed with an a though mid term and final exam research paper and weekly quizzes lecture slides are online
5.0,M,if you actually talk to him he is really sweet if he knows you from talking with you he will help you out most of the quizzes are group quizzes and he gives you the answers and extra credit you have to read a lot but a lot is from the lectures i would definitely recommend
2.0,M,he is a horrible teacher give good lectures rambles on and on i would never have him as a professor again
3.5,M,dr andrews is a great professor i loved his class he gives many extra credit opportunities you just need to read all of the texts to pass
1.0,M,i was expecting this class to be easy it is not this is a lecture class you can expect to have a reading assigned every singe class period and half the time he unclear about what needs to be read i had multiple quizzes where the questions were irrelevant to the story that was read i have to take this class again with a different prof now
1.5,M,he seems to be confused in his own lectures he gives you information then has test on something completely different
3.5,M,great professor clear on explaining chem have to say i learned a lot by taking his class i definitely recommend him
4.0,M,very strict at first but lightens up as the semester goes on a tough but fair grader but gives good feedback to help you improve he explains the readings and what he expects on the essays if you bother showing up to class his lectures are dry but have great content
3.5,M,i am terrible at physics i got a b in physics from hess but i got an a in this class and it was one of the most accomplishing grades i have ever achieved he is hilarious and lectures will keep you entertained i spent almost every day in the physics tutor lab and it paid off lectures are only mandatory for attendance iclicker points
5.0,M,professor king makes it easy for his students he gives weekly quizes and one cumulative final exam at the end there are study guides to help prepare students for the quizes final exam
5.0,M,dedicate at least a day to doing problems per chapter the exams too difficult but they are tricky so you need to know your stuff a good prof practice the problems he posts at the end of lectures and pass go to tutorials for extra practice questions and get at least a b i stress go to tutorials if you can
1.0,M,would not recommend anyone to take his online course according to hassan as far as i know this course has never audio or vedio lectures because they are not developed by the departmentschool so we have to read the text book and then post any questions on any concept or methods i will address it ta worked pretty hard
5.0,M,bob is awesome end of story take him and look back makes a tough subject easy lectures reflect the test directly
5.0,M,dr robert bender is the best professor at utd he opens many ways to earn extra bonuses credits there are exams lowest grade drop he gives a very good exams review with questions answers keys days the exam day so you can study it at the end no one left behind b thank you dr robert bender
5.0,M,ignore the last reviews bs bob do ec and no paper there are exams he writes online hmwk and department-wide final he write bob is great and his exams easy but he gives you great reviews the final sucks bob never sees it so he can only help so much do well on exams need it
3.5,W,i took studies in writing as a required course for english ed but this is a creative writing course wrote creative papers which i had never done before she grades easily and pities you if you a creative writing major does not do much during class time besides talk about the books but there are no testsquizzes sweet lady
1.0,W,not helpful not consistent with what she said would be covered on telling stories not teaching it is supposed to an awesome course with real life information needed and practice the prof is away from it
5.0,M,i strongly recommend dr giarratani he is a master economist he lectures from the book but he does a fabulous job of explaining the material he also puts his lecture slides online the non-mandatory homework and readings are important for the tests his tests are reasonable and it is easy to do well if you understand the material
5.0,M,dr giarratani is a department head and an internationally respected economist he might not be the most riveting public speaker but he sure does have a lot of insightful things to say he is a fair grader and has reasonable expectations do the recommended book problems and go to him for help if you need to--test questions are often identical
3.5,W,a wonderful professor she provides a clear outline of the course and sticks to it there are in-class readings and discussions for participation points no exams but a few pop quizzes just read what she says to read research paper is of your grade but she lets you submit drafts and she is there every step of the way if you need her
1.0,M,worst teacher i ever had has no clue what he is talking about he teaches a concept decides it is wrong and reteaches it again but tests you on the wrong one i took advanced honors physics in high school and got an a but struggled to get a c in this class i basically self-taught in this class
5.0,W,make copies of the practice exam and continue doing it until your successful make copies of the lessons and do along with her videos in lab do all homework first then your quizzes your quizzes are on the test so practice the unit exam too
5.0,W,ms dameron is very clear with what is expected and how she grades she emails how-to videos regularly provides good notes and worksheets and offers online students to come to campus to study with that class for tests she wants you to learn and pass the best teacher had at tcc
5.0,W,mrs dameron is a wonderful teacher she makes it easy and fun to pass her class anyone who need to take math class should take it with her
1.0,W,she is nice and wants you to pass but none of her lectures match up to the work that you have to do for mymathlab i am taking an online only class and it is probably the hardest thing i have ever taken since start college two years ago her lectures do not help and you will have to spend most of your time looking for other lessons online
2.0,W,i went into this class excited because one of those losers that actually likes architectural history mourna is the worst professor if you think you study hard wrong never had a class that was as awful as this one and i cried a lot if you want to talk to the professor she has a pretty interesting life but take the class
5.0,M,hands down best math teacher ever had if you ever have any questions go to office hours i went almost every week with homework questions and he was so so so helpful his tests and homework are fair he drops your lowest quiz as well he is a very clear and organized lecturer and is extremely approachable and helpful sweet sweet guy
5.0,M,professor burk is awesome best math teacher i have ever had he truly cares about his students and goes to great lengths to make sure that everyone understands the material
2.0,M,wandling is extrememly confusing and frustrating he use a powerpoint for most of his lectures which makes it difficult to understand what exactly you need to know for the exams you get your grades through the not him there is a lot of reading for each class and is difficult to understand at the beginning of the semester
5.0,M,fred stewart is one of best professors ever had his class lectures are always interesting and keeps your attention class has easy writing assignments and tests that are easy because they cover vocabulary definitely an easy a if you put in a little effort have to take the final if your grade is high enough would take him again
3.5,M,very nice professor who is always clear on his material study the syllabus and take good notes and pass the tests but only can be an easy a if you put some effort in can be an easy f if you never show up or study for the tests
4.0,M,gallaher is an awesome professor the course content is not easy but he makes it bearable he is very funny and cracks jokes frequently i really respect him as a professor while you the grading is not the quickest he provides very individualized feedback and it makes the wait worth it if you need help outside of his course he will provide it
4.0,M,he teaches organic chemistry it is kind of hard to make organic appealing but he finds a way he has a funny sense of humor the class is hard but it is due to the subject material itself he is always there if you need help his tests are extremely difficult but he tries to be as helpful as possible one of the nicest professor at carlow
2.0,M,i took with mr peters honestly the only reason why i passed is because the class is basically common sense he is knowledgeable and excited about the subject but he talks more than teaches his notes always align with the book his logic grading is confusing he talks fast and lacks enough patience to teach a class avoid him
4.0,W,she is a very friendly and enthusiastic teacher really easy class just had to give four speeches and take two online tests easy grader cancels class or ends early a lot so it would be good to take her last in the day an issue some people might have is she talks about your speech right after you do it in front of the class
4.0,M,this class was so much fun expect to go outside alot the tests are hard but he gives so much extra credit impossible to fail just a great guy and loves nature
5.0,M,professor sterner is he best he is the nicest man i have ever met he truly cares about his students and only wants them to do well i would take his class again anyway and i am not even smart in science we go outside when its nice out and his extra credit projects are so much fun
5.0,M,mr b is the best speech professor anywhere i hate public speaking but mr b made us feel comfortable and laid back he grades on improvement not by expectation meaning if you do poorly on one speech but try harder and do better on the next one he will take that improvement into account and boost your grade he just wants to see you try
5.0,W,she is one of the best dance teachers i have ever had very clear and very helpful
5.0,M,i took professor burns for calc ii this professor really knows his stuff he is very funny and is willing to explain to you until you understands the material he give practice test before exam and it goes over if you study the practice test you will pass the exam recorded his lecture posted on youtube any time you could access and review
5.0,M,prof burns absolutely loves to help students with math he will spend as much time as you need to help you understand it he offers multiple ways of solving a problem lets you decide what works for you he always makes you feel good about learning something keeps you interested during the class does not call on you if you dont want to be
4.0,W,professor siegfried believes that her students are capable and intelligent so she pushes your limits more than any professor ever had however the work is worth it taking two classes from professor siegfried shakespeare and film and feminist literary theory have challenged and changed my world view every ounce of work is worth it
1.0,M,dr hardy is extremely rude he will laugh in your face about questions you ask at one point he told me he wasnt talking to me anymore also he is not willing to work with you when you have a issue our online system calculates grades wrong i received a d but if you calculate it it adds up to a b he still fix it saying it his issue
3.0,M,very nice guy he comes off very quiet at first but he really does love his students you do have to try he will push you for assignments and projects but only because he wants to see everyone do their best
1.0,M,this class was just him trying to prove to the students that he was a good parent he is very arrogant and self consumed he provided no help and did not even bother to learn our names he also cancelled class way to many times and we probably did not cover half of the material we were supposed to if you want to learn do not take him
2.0,M,he cancled class too often and the material half was intro-psyc and the other half was his life story this teacher is concieted and self righteous rarely alowing students to explain themselves when a question is asked instead he opts to hear himself speak easy enough if you can memorize and regurgitate take if you actualy want to learn
2.0,W,i have trouble understanding why all of the other reviews are so positive she was an easy grader but we had to do excessive research for oral presentations also she made many political comments that were unrelated to the course regarding feminism the aca the iraqi war etc her comments were unprofessional at best do not recommend
5.0,W,bvb is the best absolutely life-changing and one of the leading experts in her field so so brilliant such a wonderful person who truly wants her students to do well is willing to go above beyond to help tests are hard so you need to put in the work and skip class textbook is usually a cd of images that you will use
4.0,W,bvb is great really passionate about her field and her knowledge and research is impressive she wants you to be as passionate about the information as she is clear about assignments and will gladly clarify that being said there is so much information to memorize for exams and her tests cover a lot of material
5.0,W,bvb is one of the best professors at gw she has a love for renaissance art which is infectious her lectures are fascinating and clear and she is a pretty easy grader she really cares about her students so it pays to get to know her i have taken many classes with her and hope to take more she is everything a student could ask for
5.0,W,linda is the kind of professor that makes you love the subject grammar is tolerable at its best but linda made it interesting and fun she is a very skilled instructor and she knows her subject matter i believe attendance is key for receiving an a but i never wanted to miss her class so this a problem
5.0,M,dr wiseman is an awesome professor he expects students to work for their marks which is the way it should be he uses great examples and has a great sense of humor i would definitely take more courses with him he is passionate about the topic and makes it easy to attend class overall i would rate him an a professor
5.0,W,i have had the honor of knowing dr chen she has been my throughout college she is one of the nicest most caring professors ever had she truly cares about each student and for their success she gives great homework feedback and is always willing to help we all call her our mom at school great professor
4.0,W,dr chen is an excellent professor she cares deeply about the success of her students and she is always willing to help pay attention during her lectures take notes and ask questions she is the best professor i have had a ball state
3.5,W,most instruction takes place with videos and through practical applications she is always quick to respond to questions and willing to help
5.0,W,she is a good teacher and the material in book are helpful for exam i think it is not a difficult class to pass if you do homework carefully
1.0,M,take no respect for students or their opinions super sarcastic and rude reading is heavy and the only aspect of the class i enjoyed that had nothing to do with him he grades writing assignments in emojis winky face glasses is an a while frowny face smile is a c upset i wasted my limited time and money on a course like this
2.0,M,dr burton requires his students to write weekly a lot work if you miss class it will hurt grade even if you complete all the work i take him again
2.0,M,he is the worst teacher ever had he is very rude and care about the students
2.5,M,rob burton while a very interesting instructor who is at times thought-provoking to listen to i will not take again he has a very weird grading scale reading specific blogs which are the primary source of our grades in this class are graded not with letter grades or percentages but rather smiley-faces he is also quite sarcastic
2.0,W,if i wanted to be talk to like a kid id go to a day care this woman talk to her students like we are years old
1.5,W,she is all over the place quizzes time you meet she expects that you can write a perfect essay in minutes these are her quizzes tons of reading to do along with participation essays at the end of the class which is timed graded as well as the quizzes she is extremely picky when she grades get a b if you lucky
4.5,M,dr gallaher is a fantastic teacher and truly cares about the success of his students he gives amazing examples and uses many anecdotes in class in order to help students understand the material he is most definitely the best english teacher met in my collegiate career and glad i had a chance to take comp with him
5.0,M,this class was amazing its not your usual or page writing course he makes things very engaging and different we pretty much never used the book and the writing assignments were super easy also we practically never stayed the whole class time
4.0,M,i was not a fan of human geography however urban geography was my favorite class was very interesting and he used multiple relevant examples i would definitely take another class in the level with dr eberts
2.5,W,take symmetry most pointless and confusing class ever taken not a bad professor but the subject is just very confusing and abstract it was a very awkward class she will assign homework that make any sense mainly because the textbook makes no sense i would not recommend anyone taking this class
1.5,W,terrible professor does not know how to teach would not recommend taking her unless math is your strength if taken calculus before its very easy but still rough to sit through
3.0,W,professor hall is very nice and helpful but her class can get boring at times all the homework is on the syllabus and usually due once every other week when homework is due you have a quiz sometimes she gets confusing but as long as you keep up with the work get a b will have to work a little bit for an a
2.0,W,she is such a hard grader and i would never ever want to take a class with her again the tests also rarely make sense and the homework follow the noteslecture at all
1.5,W,worst class my first semester of freshman year she is very disorganized her lectures are all over the place so it is hard to take notes which also makes it hard to study for her exams her grading criteria and prompts are unclear leaving you with little to no idea on how to do for tests do not recommend
2.0,W,she assigns a lot of readings but you can get by without doing them as long as you take notes in class harsh grader on papers she give many guidelines then corrects aspects that she did not say were necessary very disorganized lost our midterms and did not handle it well i do not recommend taking this class
2.0,M,this guy loves to hear himself talk from the time class starts until the very end talking everything he says comes right from the book the tests are outrageous and the papers are incredibly hard a nice enough guy but a horrible instructor
3.0,M,a nice guy but his teaching style is extremely boring this class was one night a week three hours and he give any breaks which be so bad if he mixed things up a bit the three papers we had for the class were on topics that only got touched on the week before the due date tough grader take a class with him again
1.0,W,anita is a nice person but she generally has no idea what she is talking about and is usually completely unprepared for her lessons the book actually tries to show you the content of the course i have doubts if she has ever read it beware of her extreme problems with clarity and habits of assigning homework through email at random
1.0,W,she has never once lectured or taught any material the entire class stupid reading quizzes every weekend all you do is show up to class she gives you a group presentation to prepare in minutes and you teach the class yourself she requires you too write ridiculous long papers for certain assignments a horrible level class
1.0,W,she is clearly over her head and has no idea what she doing she talks to hear herself be friendly has no true industry in-site that does not come out of a book she plays favorites and is straight up two faced never take courses or the gaming degree from this school
3.5,W,she let the class use technology to take notes but it matter as she provided the power point slides on icon all i had to do was print them off i recommend taking notes directly on the power point slides she provides for the class exams are over lectures and the textbook she explains everything in detail a lot of extra credit
3.0,W,subtly sneaks her political views into lectures liberal extremely condescending says at least once a week oh too young to know who x is when x is a prominent politician or celebrity tries to hold our hands through lectures take notes on weirdobvious examples she rewords them and has them as a test question
4.0,W,great professor little bit hard and there are many things to read but very intelligent and try really really hard to help students if you actively ask for help you will get an a not easy class but if you try you can get an a a range is quite wide as well she gives lots and lots of extra credits
4.0,W,never have i felt like been in high school while college until i took her class she values class room participation and daily homework completion more than any other instructor had
2.0,W,although senora zahajko is a very pleasant and charming lady she is very hard to learn from as a teacher she expects you to spend hours a day on homework then even grade most of it so you know if getting it right she zooms through new material and have time to answer students questions do not recommend her
3.0,W,have to work very hard attendance is a must lots of high graded hw i learn more by studying the material with hw as a guide not doing hours of fill in the blanks a in and b in w all extra credit and it being my only class passionate but needs to adjust her teaching style wish there was another daytime professor
5.0,W,i have taken her a year ago and now i am taking her second class span she is one of my favorite teacher in nsc this is because i learned so many valuable things through taking her class i am now speaking languages including spanish just take her class if you are interested in learning spanish
